Rótulos de Linha;Contagem de start_date
banco;2
banco-de-horas;2
cliente;61
cliente;55
deslocamento;1
focus-time;5
internas;27
1:1 BizDev;14
partnership-channels;4
sales;2
sales-torre-finance;4
sensedia-corp;2
sensedia-wgo;1
open;16
openbanking;9
openeducation;7
partnership;1
partnership-channels;1
sales;1
sales;1
sensedia;3
sensedia-wgo;3
solutions;48
1:1 Gestão Solutions;1
partnership-tech;1
solutions;16
solutions-alinhamentos;3
solutions-gtm;6
solutions-plan-2023;4
solutions-ritos;17
Total Geral;159
